--INT_BANK_CODE|FORMAT_TYPE|FORMAT_VALUE|FORMAT_TXN_CODE|FORMAT_TEMPLATE|FORMAT_COL_NAME|DISPLAY_ORDER
086104|TXN_CODE_POA|001|OBP|转账支出|业务摘要|1
086104|TXN_CODE_POA|002|SUP|转账支出|业务摘要|1
086104|TXN_CODE_POA|003|OBI|Opening|业务摘要|1
086104|TXN_CODE_POA|004|OBI|结息|业务摘要|2
086104|TXN_CODE_POA|005|CGB|收费|业务摘要|1
086104|TXN_CODE_POA|006|CGB|短信服务费批量扣缴|业务摘要|2
086104|TXN_CODE_POA|007|SNP|网上支付|业务摘要|1
086104|TXN_CODE_POA|008|SNP|转账收入|业务摘要|2
