 10129600|Due from China Pay-Direct RMB|CPDIR151(A)|Xiao-Baofoo-195(Available)|Hybrid|China|Debit|RMB|2,078,485.76|2,603,197.78|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR152(A)|Xiao-Baofoo-196(Available)|Hybrid|China|Debit|RMB|2,064,862.07|2,584,701.33|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR153(A)|AllInPay-AllInPay-5004(Available)|Hybrid|China|Debit|RMB|1,015,908.68|1,270,552.64|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR155(A)|Linkinpay-eBatong-035(Available)|Hybrid|China|Debit|RMB|0|629.37|0
 10129600|Due from China Pay-Direct RMB|CPDIR156(A)|Linkinpay-ShengPay-037(Available)|Hybrid|China|Debit|RMB|492,926.56|617,292.17|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR157(A)|Linkinpay-HNAPay-040(Available)|Hybrid|China|Debit|RMB|198,378.41|246,416.23|1.24 
 10129600|Due from China Pay-Direct RMB|CPDIR158(A)|Linkinpay-Gnete-043(Available)|Hybrid|China|Debit|RMB|214,524.25|268,553.10|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR159(A)|ToMerchantPay-GoPay-880111(Available)|Hybrid|China|Debit|RMB|1,567,930.69|1,967,116.93|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR160(A)|LinkinPay-ShengPay-038(Available)|Hybrid|China|Debit|RMB|493,674.07|618,232.05|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR161(A)|Linkinpay-ShengPay-039(Available)|Hybrid|China|Debit|RMB|497,025.83|622,438.72|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR162(A)|LinkinPay-HNAPay-041(Available)|Hybrid|China|Debit|RMB|987,396.32|1,237,130.22|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR163(A)|LinkinPay-HNAPay-042(Available)|Hybrid|China|Debit|RMB|627,568.26|786,130.54|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR164(A)|ToMerchantPay-YeePay-880112(Available)|Hybrid|China|Debit|RMB|158,652.79|198,733.66|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR165(A)|LinkinPay-eBatong-045(Available)|Hybrid|China|Debit|RMB|306,476.97|383,785.86|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR168(A)|eSkyPay-IPS-1101(Available)|Hybrid|China|Debit|RMB|294,233.06|368,454.72|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR171(A)|LinkinPay-YeePay-048(Available)|Hybrid|China|Debit|RMB|20.68|25.90|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR172(A)|LinkinPay-ePaylinks-047(Available)|Hybrid|China|Debit|RMB|102,001.87|128,046.49|1.26 
 10129600|Due from China Pay-Direct RMB|CPDIR173(A)|HaiPay-FL-158(Available)|Hybrid|China|Debit|RMB|1,713,454.34|2,144,918.38|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR174(A)|HaiPay-FL-159(Available)|Hybrid|China|Debit|RMB|155|194.25|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR175(A)|AllInPay-AllInPay-7001(Available)|Hybrid|China|Debit|RMB|823,047.25|1,033,200.15|1.26 
 10129600|Due from China Pay-Direct RMB|CPDIR176(A)|LinkinPay-eBatong-049(Available)|Hybrid|China|Debit|RMB|198,725.50|249,467.09|1.26 
 10129600|Due from China Pay-Direct RMB|CPDIR177(A)|eSkyPay-HNAPay-1201(Available)|Hybrid|China|Debit|RMB|30.33|38.05|1.25 
 10129600|Due from China Pay-Direct RMB|CPDIR178(A)|YeePay-YeePay-2362 (N)(Available)|Hybrid|China|Debit|RMB|14.4|18.08|1.26 
 10129600|Due from China Pay-Direct RMB|CPDIR42(A)|Eskypay-IPS-2(Available)|Hybrid|China|Credit|RMB|50|22,734.92|454.70 
 10129600|Due from China Pay-Direct RMB|CPDIR52(A)|Haipay-Haipay-2098(Available)|Hybrid|China|Debit|RMB|285,779.26|285,373.86|1.00 
 10129600|Due from China Pay-Direct RMB|CPDIR59(A)|Haipay-Haipay-2103(Available)  |Hybrid|China|Debit|RMB|85,518.09|7,916.76|0.09 
 10129600|Due from China Pay-Direct RMB|CPDIR61(A)|Linkinpay-YeePay-017(Available)     |Hybrid|China|Debit|RMB|693,159.04|862,855.30|1.24 
 10129600|Due from China Pay-Direct RMB|CPDIR62(A)|Linkinpay-YeePay-019(Available)  |Hybrid|China|Debit|RMB|0|-4,717.70|0
 10129600|Due from China Pay-Direct RMB|CPDIR67(A)|Linkinpay-HNA-023(Available)     |Hybrid|China|Credit|RMB|0.9|53,159.53|0
 10129600|Due from China Pay-Direct RMB|CPDIR85(A)|Linkinpay-ShengPay-025(Available)|Hybrid|China|Debit|RMB|0|-16,785.49|0
 10129600|Due from China Pay-Direct RMB|CPDIR87(A)|Linkinpay-ShengPay-027(Available)|Hybrid|China|Debit|RMB|0|-21,332.95|0
 10129600|Due from China Pay-Direct RMB|CPDIR90(A)|Linkinpay-YeePay-028(Available)|Hybrid|China|Debit|RMB|660,393.74|815,262.78|1.23 
 10129600|Due from China Pay-Direct RMB|CPDIR91(A)|BaoFoo-BaoFoo-181(Available)|Hybrid|China|Credit|RMB|0.1|55,524.37|0
 10129600|Due from China Pay-Direct RMB|CPDIR92(A)|BaoFoo-BaoFoo-182(Available)|Hybrid|China|Debit|RMB|0|-276,857.86|0
 10129600|Due from China Pay-Direct RMB|CPDIR93(A)|Linkinpay-ShengPay-029(Available)|Hybrid|China|Debit|RMB|0|-18,680.91|0
 10129600|Due from China Pay-Direct RMB|CPDIR99(A)|Linkinpay-HNA-030(Available)|Hybrid|China|Debit|RMB|0|-29,094.32|0
 22110210|Due to 1-Pay Direct Merch HKD|DIR180101HKD|Bet365_VNET_OLD (os)|Hybrid|China|Credit|HKD|0|0.00|0
 22110210|Due to 1-Pay Direct Merch HKD|DIR180121HKD|Bet365_VNET_OLD|Hybrid|China|Credit|HKD|25,000,000.58|25,000,000.58|1
 22120200|Due to 1-Pay Direct Merch RMB|DIR180094|LIVE_TEST_VNET|Hybrid|China|Credit|RMB|8,682.41|-10,765.30|0
 22120200|Due to 1-Pay Direct Merch RMB|DIR180101|Bet365_VNET_OLD (os)|Hybrid|China|Credit|RMB|0|-18,378,819.00|0
 22120200|Due to 1-Pay Direct Merch RMB|DIR180107|Bet365_VNET_NEW (os)|Hybrid|China|Credit|RMB|0|-252,366.09|0
 22120200|Due to 1-Pay Direct Merch RMB|DIR180110RMB|Bet365_VNET_TEST|Hybrid|China|Credit|RMB|0|14.50|0
 22120200|Due to 1-Pay Direct Merch RMB|DIR180120RMB|Bet365_VNET_NEW|Hybrid|China|Credit|RMB|2,814,343.83|3,524,869.95|1.25 
 22120200|Due to 1-Pay Direct Merch RMB|DIR180121RMB|Bet365_VNET_OLD|Hybrid|China|Credit|RMB|72,231,838.08|90,557,182.45|1.25 
