GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
53190|Bank FX Commission -  Mobile |||Mobile|China|Debit|HKD| 181.18 | 181.18 ||
53190|Bank FX Commission -  Mobile |||Mobile|China|Debit|RMB| 493,772.60 | 616,384.81 ||
53195|Bank FX Commission - Offline Taiwan|||Offline|Taiwan|Debit|HKD| 112,331.07 | 112,331.07 ||
53196|Bank FX Commission -  Voucher|||Voucher|China||| -   | -   ||
53197|Bank FX Commission (WebATM)|||WebATM|Taiwan|Debit|TWD| 1,147,590.00 | 299,128.78 ||
54203|Bad Debt - NBX Asia|||Hybrid|China|Debit|RMB||||product and country not identified
54204|Bad Debt - Asia|||Gateway|China|Debit|RMB||||
54205|Bad Debt - Asia|||Mobile|China|Debit|RMB||||
54206|Bad Debt - Asia|||Offline|China|Debit|RMB||||
54207|Bad Debt - Asia|||Voucher|China|Debit|RMB||||
54208|Bad Debt - Asia|||WebATM|Taiwan|Debit|TWD||||
66600|Verification Expenses|||Shared|China|Credit|RMB| (5,989.76)| (7,180.11)||product and country not identified
66600|Verification Expenses|||WebATM|Taiwan|Credit|TWD| (4,945.00)| (1,299.30)||product and country not identified
82400|Service Charges|||Hybrid|China|Debit|EUR| 25.00 | 258.53 ||
82400|Service Charges|||Hybrid|China|Debit|HKD| 1,168.58 | 1,168.58 ||
91650|FX Gain/Loss|FX001|FX Gain/Loss - Hybrid|Hybrid|China|Credit|HKD| (34,027,013.08)| (34,027,013.08)||
91650|FX Gain/Loss|FX002|FX Gain/Loss - Gateway|Gateway|China|Credit|HKD| (491,866.34)| (491,866.34)||
91650|FX Gain/Loss|FX002|FX Gain/Loss - Gateway|Gateway|China|Debit|RMB| 6,670.07 | 8,147.15 ||
91650|FX Gain/Loss|FX003|FX Gain/Loss - Offline|Offline|China|Credit|HKD| (2,430,558.55)| (2,430,558.55)||
91650|FX Gain/Loss|FX004|FX Gain/Loss - Mobile |Mobile|China||| -   | -   ||
91650|FX Gain/Loss|FX005|FX Gain/Loss - Voucher|Voucher|China||| -   | -   ||
91650|FX Gain/Loss|FX006|FX Gain/Loss - WebATM|WebATM|Taiwan||| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR26(A)|PSP Temperory - Hybrid(Available)|Hybrid|China|Debit|RMB| 6,390.30 | 8,407.55 ||
10129600|Due from China Pay-Direct RMB|CPDIR26(F)|PSP Temperory - Hybrid(Float)|Hybrid|China||| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR27(A)|PSP Temperory  - Gateway(Available)|Gateway|China|Debit|RMB| 1,768.60 | 2,370.03 ||
10129600|Due from China Pay-Direct RMB|CPDIR27(F)|PSP Temperory  - Gateway(Float)|Gateway|China||| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR141(A)|PSP Temperory  - Mobile(Available)|Mobile|China||| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR141(F)|PSP Temperory  - Mobile(Float)|Mobile|China||| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR30(A)|PSP - Mr.Ngan(Available)|Offline|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR34(A)|PSP - Mr. Peng (Available)|Offline|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR38(A)|PSP - Mr. Peng Bank-in-transit (Available)|Offline|China|Credit|RMB| (25,847.84)| (34,812.02)||
10129600|Due from China Pay-Direct RMB|CPDIR46(A)|PSP - Mr. Ngan Bank-in-transit (Available)|Offline|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR48(A)|PSP - Alan (Available)|Offline|China|Debit|RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR52(A)|Haipay-Haipay-2098(Available)|Hybrid|China|Debit|RMB| 2,014,455.54 | 2,448,994.79 ||
10129600|Due from China Pay-Direct RMB|CPDIR52(F)|Haipay-Haipay-2098(Float)        |Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR59(A)|Haipay-Haipay-2103(Available)   |Hybrid|China|Debit |RMB| 1,970,143.26 | 2,370,460.04 ||
10129600|Due from China Pay-Direct RMB|CPDIR59(F)|Haipay-Haipay-2103(Float)   |Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR84(A)|PSP - Mr. Xiao (Available)|Offline|China|Debit |RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR88(A)|PSP - Mr. Chan (Available)|Offline|China|Debit |RMB| -   | -   ||
10129600|Due from China Pay-Direct RMB|CPDIR102(A)|Haipay-Haipay-0192(Available)|Gateway|China|Debit|RMB| 1,094,899.50 | 1,408,131.67 ||
10129600|Due from China Pay-Direct RMB|CPDIR102(F)|Haipay-Haipay-0192(Float)|Gateway|China||||||
